MOF,O2,N2,CO2,CH4,H2,He
VECZAG_clean,8569887.186577309,11464681.719893476,3895607.1770411516,4459898.909961279,,83530791.82545485
VECZEI_clean,1531579.4993102031,1195088.2126100096,979904.8576910545,,,
VECZEK_clean,5097678.106485818,8393971.850822033,2535889.8651003195,2233475.5865008268,,68670937.66395229
VEDFAN_clean,1557904.2534330923,1052346.8732100532,978309.0052272308,,,
VEDFIV_clean,1068135.4644982696,663863.9255312327,550471.5905888015,170558.7334415741,,
VEDFOB_clean,1362753.3891670015,994023.9001194289,777921.6035657858,,,
VEDFUH_clean,1346873.8652038663,956286.9912292598,739436.4210964233,,,
VEDGAO_clean,1019576.5606505617,625207.2547727468,512775.35860422463,,,
VEDGES_clean,1329746.529737545,992133.4598180637,743450.4543156101,,,
VEDGIW_clean,1358097.5961865613,1000338.0753914457,826013.8569258706,,,8395937.974147556
VEFJOG_charged,,,,,,2021552.95570931
VEFLUP_clean,1995874.1411324819,1131066.1897927388,1092781.6781305952,341800.9961850876,,13014955.32002582
VEFMAW_charged,1631237.9475477694,1349572.0028736216,824370.1417725472,,,
VEGBUG_clean,8505221.14598127,8327575.439307334,755226.1638122805,1465188.1084658268,,96908295.84674601
VEGCAN_clean,10698173.536798015,10577150.718844146,1202311.0788450958,1845948.8628987367,,108319770.69749671
VEGMIE01_charged,892800.2694672226,703733.5889075156,746358.3278702348,,,5850535.6047100555
VEGMIE_charged,969050.591110605,777873.2067101868,814432.1332868983,,,5556930.038789368
VEGMOK01_charged,869000.1038978018,694415.5441863575,695643.1215411637,,,5791856.849123807
VEGMOK02_charged,931857.7239055036,721610.5640212954,780225.326929351,,,5935925.75509525
VEGMOK03_charged,1050009.0739960563,809978.6366010403,869513.6446055543,,,6506271.016411504
VEGMOK04_charged,798627.5595998334,656399.6808959829,676202.5325079364,,,5337335.963558627
VEGMOK_charged,842495.679638876,666918.4156968542,706287.1030857988,,,5570678.595152856
VEGXIQ01_clean,9653.631567605804,294.91607694034377,3282.6870528335453,56.2294733224317,,1833.7108329278456
VEGXIQ_clean,1873.3914167446521,74.64602899073438,1486.372584500606,49.227912808187135,,2891.011065731075
VEGXOW_clean,0.054944720857926926,108.90550713017085,137.2047248780904,26.48202476584827,723.513270664524,890.0111554192172
VEGXUC_clean,0.06641883691325545,123.77802527234996,,,834.2381198016953,972.2353731642378
VEHJID01_clean,18713132.45742788,16008061.480029564,3431592.8167648497,,,
VEHJID_clean,5584407.818915799,4176901.477668805,4005533.439538127,2419080.335932637,,35481929.23515168
VEHJOJ_clean,,10865989.985218603,,,,
VEHJUP_clean,13665497.33020295,11399577.924123539,2082770.0470388264,,,
VEHKAW_charged,898601.5678512335,510032.0961029212,,,,2667870.1389704538
VEHKIE_SL,5859164.340208428,4857824.74490909,3714970.4771444816,3210261.9198167925,,32492302.202569634
VEHKOK_charged,3379276.9697063123,2601274.644668036,2279040.8570314557,,,
VEHLAW_clean,,,,,26658007.601170827,
VEHLEA01_clean,2818977.7166496306,1837944.9348314342,1601812.3242391206,521247.36350014864,,18541080.19809824
VEHLEA02_clean,5103919.045733333,4715371.932686716,3034708.758242433,1701419.317692999,,
VEHLEA_clean,3324331.4619048215,2066976.0950086913,1919752.9060998592,734132.1188078857,,23338940.50444212
VEHLIE_clean,1177753.1668848654,1002830.0359525699,,428492.4749433802,,11506338.080499709
VEHNAZ_charged,6099663.36685926,6144161.431562646,1866058.356260306,,,52417460.71250546
VEHPUU_clean,1164967.0411948091,1200075.6917087857,826330.3337914012,410799.5675416746,,5956432.2057488
VEHROR_charged,298623.9473472147,157057.4888732922,114257.14807774505,38844.879117463,,1607104.1627545375
VEHYUE_clean,,,,,8504670.347511712,
VEJHEZ_clean,13825943.97612559,13380911.225036237,3326459.5724587156,8227738.622459197,79315275.14596975,78399246.7225223
VEJHID_clean,8726002.225828093,9255455.457430646,2188110.8943535006,2139728.258396623,,77375067.36888212
VEJYIT01_clean,2110983.8867457723,1681114.2249795704,1452655.6194432962,,,
VEJYIT_clean,2278424.319283539,1877474.7607452122,1567773.0939718643,,,
VEJYOZ_clean,2140893.4791982155,2123071.383514023,1431609.4316287322,,,
VEJZEQ_clean,422774.3658347402,190791.80660327527,,,,
VEJZIU_clean,3499053.5014713192,3705220.490648612,1394657.5457969443,,,
VELVEO_clean,,,,,9368894.479209866,
VELVOY_clean,1912373.6915348042,655530.479406349,795726.1352027907,114288.92856876837,,10022064.737385176
VEMDAT_clean,708374.022031866,471109.52599686873,534338.3892351121,204565.67489885545,,3611218.0816694703
